Station Code,Monitoring Location,State Name,Temperature Min (°C),Temperature Max (°C),Dissolved Oxygen Min (mg/L),Dissolved Oxygen Max (mg/L),pH Min,pH Max,Conductivity Min (µmhos/cm),Conductivity Max (µmhos/cm),Biochemical Oxygen Demand Min (mg/L),Biochemical Oxygen Demand Max (mg/L),Nitrate Min (mg/L),Nitrate Max (mg/L),Fecal Coliform (MPN/100ML),Total Coliform (MPN/100ML),Fecal Streptococci (MPN/100ML),Fecal Streptococci Max,Nitrate Min,Nitrate Max
30026,RIVER YAMUNA AT PALLA,DELHI,17,33,3.9,9.6,6.7,8.6,525,851,1,14,0.67,1.85,68,33000,790,54000,33,1100
1120,"RIVER YAMUNA AT PALLA, DELHI",DELHI,17,27,4.6,14,7.3,8.5,689,1711,2.5,11,0.3,2,68,22000,460,54000,23,5400
5098,RIVER YAMUNA AT WAZIRABAD,DELHI,,,1.9,8.3,6.6,7.4,,,8,10,,,680,11000,,,,
5099,RIVER YAMUNA AT ISBT BRIDGE,DELHI,,,0.3,1.6,7.2,7.5,,,34,38,,,17000,350000,,,,
5100,RIVER YAMUNA AT ITO BRIDGE,DELHI,,,0.3,1.8,7.4,7.6,,,26,62,,,22000,110000,,,,
1121,"RIVER YAMUNA AT NIZAMUDDIN, DELHI",DELHI,17,27,0.3,3.2,7.3,8,1488,2240,22,48,0.3,1.5,47000,4900000,1100000,8400000,79000,4600000
1375,"RIVER YAMUNA AT OKHLA BRIDGE (INLET OF AGRA CANAL), DELHI",DELHI,16,27,0.3,2.9,7.4,7.9,1001,1790,22,56,0.3,1.1,49000,11000000,940000,11000000,4600,140000
1812,"RIVER YAMUNA AT OKHLA AFTER MEETING OF SHAHDARA DRAIN, DELHI",DELHI,17,28,0.3,2.2,7.4,8,1225,1851,38,83,0.3,1.5,70000,22000000,3300000,22000000,330000,700000
30026,"YAMUNA AT PALLA, WAZIRABAD (DELHI) INTER-STATE",DELHI,,,7.2,17.1,7.7,8.6,323,665,3.7,7.9,0.5,1.4,110,79000,490,170000,7,2200
1120,"YAMUNA AT PALLA, DELHI",DELHI,15.5,33,5.6,17.1,7.6,9,273,789,1.4,7.9,BDL,1.4,78,79000,330,350000,13,5400
1121,"YAMUNA AT NIZAMUDDIN, DELHI",DELHI,13,31,0.3,2.4,7.1,7.9,460,1641,5.6,57,BDL,2.8,210000,11000000,700000,28000000,13000,920000
1375,"YAMUNA AT OKHLA BRIDGE (INLET OF AGRA CANAL), DELHI",DELHI,15,31,0.3,2.6,7.1,7.9,488,1526,5.6,27,BDL,1.2,78000,3300000,350000,16000000,9200,920000
1812,"YAMUNA AT OKHLA AFTER MEETING OF SHAHDARA DRAIN, DELHI",DELHI,15,33,0.3,5.6,7.2,7.8,499,1773,7.7,114,BDL,2,68000,7900000,490000,35000000,7900,5400000
1120,"YAMUNA AT PALLA, DELHI",DELHI,16,33,6.8,13.2,7.3,8.9,232,618,1.7,8.8,0.6,1.5,20,4100,93,35000,,
1121,"YAMUNA AT NIZAMUDDIN, DELHI",DELHI,14.7,32.5,,2.4,6.9,7.3,589,1550,7.3,35,0.3,1.2,490000,9200000,490000,24000000,,
1375,"YAMUNA AT OKHLA BRIDGE (INLET OF AGRA CANAL), DELHI",DELHI,15.4,32,,3.1,7,7.3,610,1240,6.7,28,0.2,1,68000,11000000,68000,17000000,,
1812,"YAMUNA AT OKHLA AFTER MEETING OF SHAHDARA DRAIN, DELHI",DELHI,18.3,33.2,,3.3,7,7.7,532,1741,8.4,63,0.3,0.8,220000,49000000,490000,49000000,,
